name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"daxpy_noblas/4",63296060,11.0745,11.0377,ns,,,,,
"daxpy_noblas/16",108730311,6.36562,6.34461,ns,,,,,
"daxpy_noblas/64",30457957,23.079,23.0019,ns,,,,,
"daxpy_noblas/256",7500918,92.9793,92.6732,ns,,,,,
"daxpy_noblas/1024",1964244,358.991,357.77,ns,,,,,
"daxpy_noblas/4096",497386,1439.62,1435.07,ns,,,,,
"daxpy_noblas/16384",118940,5935.55,5915.56,ns,,,,,
"daxpy_noblas/65536",28578,24949.3,24856.8,ns,,,,,
"daxpy_blas/4",63713291,10.91,10.8755,ns,,,,,
"daxpy_blas/16",65303462,10.6787,10.6458,ns,,,,,
"daxpy_blas/64",50034608,13.8652,13.8218,ns,,,,,
"daxpy_blas/256",21222593,32.829,32.7174,ns,,,,,
"daxpy_blas/1024",5453682,130.73,130.309,ns,,,,,
"daxpy_blas/4096",1189699,593.24,591.191,ns,,,,,
"daxpy_blas/16384",217796,3249.02,3237.79,ns,,,,,
"daxpy_blas/65536",50948,13743.1,13692.3,ns,,,,,
"ddot_noblas/4",177179447,3.94465,3.93184,ns,,,,,
"ddot_noblas/16",136404737,5.26014,5.24233,ns,,,,,
"ddot_noblas/64",57665347,12.178,12.1347,ns,,,,,
"ddot_noblas/256",14681779,47.624,47.4622,ns,,,,,
"ddot_noblas/1024",4050600,172.954,172.396,ns,,,,,
"ddot_noblas/4096",693192,993.888,990.693,ns,,,,,
"ddot_noblas/16384",221067,3171.18,3160.37,ns,,,,,
"ddot_noblas/65536",60586,11472,11433.9,ns,,,,,
"ddot_blas/4",57934589,12.185,12.1445,ns,,,,,
"ddot_blas/16",57850861,12.1371,12.098,ns,,,,,
"ddot_blas/64",46291569,15.2585,15.2099,ns,,,,,
"ddot_blas/256",19402912,36.7343,36.6107,ns,,,,,
"ddot_blas/1024",5073067,137.256,136.799,ns,,,,,
"ddot_blas/4096",1190328,584.156,582.341,ns,,,,,
"ddot_blas/16384",352563,1972.65,1966.14,ns,,,,,
"ddot_blas/65536",95693,7190.14,7166.88,ns,,,,,
"dcopy_noblas/4",159643868,4.33774,4.32355,ns,,,,,
"dcopy_noblas/16",136684469,5.21823,5.20182,ns,,,,,
"dcopy_noblas/64",80765254,8.68541,8.65765,ns,,,,,
"dcopy_noblas/256",31573701,22.0976,22.0211,ns,,,,,
"dcopy_noblas/1024",7450129,92.4578,92.1631,ns,,,,,
"dcopy_noblas/4096",994245,709.597,707.126,ns,,,,,
"dcopy_noblas/16384",233407,2971.91,2962.17,ns,,,,,
"dcopy_noblas/65536",58075,12010.1,11967.2,ns,,,,,
"dcopy_blas/4",53291767,15.0023,14.9549,ns,,,,,
"dcopy_blas/16",49192530,14.2459,14.1993,ns,,,,,
"dcopy_blas/64",43693081,16.1022,16.0498,ns,,,,,
"dcopy_blas/256",25724071,27.4336,27.3451,ns,,,,,
"dcopy_blas/1024",6623554,103.285,102.963,ns,,,,,
"dcopy_blas/4096",968419,715.591,713.271,ns,,,,,
"dcopy_blas/16384",239178,2944.93,2935.39,ns,,,,,
"dcopy_blas/65536",56736,11944.1,11905.3,ns,,,,,
"dscal_noblas/4",100000000,5.0286,5.0138,ns,,,,,
"dscal_noblas/16",157929357,4.49171,4.47685,ns,,,,,
"dscal_noblas/64",64434382,10.7,10.6662,ns,,,,,
"dscal_noblas/256",15284949,45.7538,45.6175,ns,,,,,
"dscal_noblas/1024",4270213,164.958,164.43,ns,,,,,
"dscal_noblas/4096",1077775,649.228,647.013,ns,,,,,
"dscal_noblas/16384",199713,3489.13,3478.3,ns,,,,,
"dscal_noblas/65536",43287,16347.9,16291.9,ns,,,,,
"dscal_blas/4",69360070,10.4547,10.4135,ns,,,,,
"dscal_blas/16",66413810,10.7312,10.6921,ns,,,,,
"dscal_blas/64",36467016,19.2144,19.1411,ns,,,,,
"dscal_blas/256",20817345,33.7758,33.6532,ns,,,,,
"dscal_blas/1024",7046343,99.1251,98.7504,ns,,,,,
"dscal_blas/4096",1860317,375.613,374.242,ns,,,,,
"dscal_blas/16384",302570,2320.63,2311.84,ns,,,,,
"dscal_blas/65536",56780,12363.9,12318.4,ns,,,,,
"dasum_noblas/4",147893536,4.73598,4.71884,ns,,,,,
"dasum_noblas/16",135090568,5.29832,5.27789,ns,,,,,
"dasum_noblas/64",57599101,12.2207,12.175,ns,,,,,
"dasum_noblas/256",14402325,48.3706,48.1983,ns,,,,,
"dasum_noblas/1024",3902324,177.753,177.139,ns,,,,,
"dasum_noblas/4096",989926,716.156,713.459,ns,,,,,
"dasum_noblas/16384",166332,4233.39,4218.61,ns,,,,,
"dasum_noblas/65536",38957,17831,17764.4,ns,,,,,
"dasum_blas/4",62625792,11.3727,11.3299,ns,,,,,
"dasum_blas/16",59164860,11.6865,11.6452,ns,,,,,
"dasum_blas/64",51973670,13.4903,13.4394,ns,,,,,
"dasum_blas/256",29285129,24.0174,23.9318,ns,,,,,
"dasum_blas/1024",8193637,84.4527,84.162,ns,,,,,
"dasum_blas/4096",2184326,318.93,317.741,ns,,,,,
"dasum_blas/16384",361677,1991.08,1983.56,ns,,,,,
"dasum_blas/65536",66298,10514.3,10474.2,ns,,,,,
"dswap_noblas/4",74744114,9.43316,9.40054,ns,,,,,
"dswap_noblas/16",50805364,13.8954,13.8436,ns,,,,,
"dswap_noblas/64",24709155,28.5511,28.4407,ns,,,,,
"dswap_noblas/256",7741505,92.1333,91.782,ns,,,,,
"dswap_noblas/1024",2592999,269.369,268.396,ns,,,,,
"dswap_noblas/4096",286778,2422.69,2413.68,ns,,,,,
"dswap_noblas/16384",58372,11720.8,11673.2,ns,,,,,
"dswap_noblas/65536",11885,57372.6,57144.7,ns,,,,,
"dswap_blas/4",62441979,16.1365,16.0775,ns,,,,,
"dswap_blas/16",40253858,17.5045,17.4397,ns,,,,,
"dswap_blas/64",41279840,17.1352,17.0731,ns,,,,,
"dswap_blas/256",12924154,55.0628,54.8448,ns,,,,,
"dswap_blas/1024",4028218,176.19,175.531,ns,,,,,
"dswap_blas/4096",558031,1258.05,1253.51,ns,,,,,
"dswap_blas/16384",129886,5675.47,5652.25,ns,,,,,
"dswap_blas/65536",27400,25715.1,25610.5,ns,,,,,
"dnrm2_noblas/4",201045806,3.47134,3.45896,ns,,,,,
"dnrm2_noblas/16",140011198,5.01303,4.99522,ns,,,,,
"dnrm2_noblas/64",56022385,12.4926,12.445,ns,,,,,
"dnrm2_noblas/256",15204363,45.9092,45.7482,ns,,,,,
"dnrm2_noblas/1024",4200375,167.5,166.908,ns,,,,,
"dnrm2_noblas/4096",1056776,652.74,650.12,ns,,,,,
"dnrm2_noblas/16384",257410,2766.51,2756.48,ns,,,,,
"dnrm2_noblas/65536",65665,10574.6,10536.4,ns,,,,,
"dnrm2_blas/4",4652480,149.477,148.895,ns,,,,,
"dnrm2_blas/16",2057395,340.815,339.457,ns,,,,,
"dnrm2_blas/64",1770878,397.131,395.686,ns,,,,,
"dnrm2_blas/256",1100710,635.779,633.406,ns,,,,,
"dnrm2_blas/1024",668951,1054.08,1050.43,ns,,,,,
"dnrm2_blas/4096",447198,1546.68,1540.89,ns,,,,,
"dnrm2_blas/16384",126146,5522.9,5501.73,ns,,,,,
"dnrm2_blas/65536",33338,21099.7,21021.8,ns,,,,,
